name,release
TrOCR,Sep 2021
DONUT,Nov 2021
Pix2Struct,Oct 2022
Nougat,Aug 2023
Kosmos-2.5,Sep 2023
Vary,Dec 2023
Fox,May 2024
GOT 2.0,Sep 2024
Qwen2-VL,Sep 2024
Qwen2.5-VL,Feb 2025
OlmOCR,Feb 2025
RolmOCR,Feb 2025
Dolphin OCR,May 2025
NanoNets OCR,Jun 2025
MonkeyOCR,Jun 2025
OCRFlux,Jun 2025
dots.OCR,Jul 2025
Granite Docling,Sep 2025
Qwen3-VL,Sep 2025
MinerU2.5,Sep 2025
Deepseek-OCR,Sep 2025
NanoNets OCR2,Oct 2025
OlmOCR 2,Oct 2025
PaddleOCR-VL,Oct 2025
LightOn OCR,Oct 2025
Infinity-Parser 7B,Oct 2025
Chandra,Oct 2025
MonkeyOCR-v1.5,Nov 2025
HunyuanOCR,Nov 2025
